#time,accel_x,accel_y,accel_z
87679.255194,382.945777,382.945777,9267.287815
87679.255343,229.767466,536.124088,9037.520349
87679.255492,382.945777,536.124088,9267.287815
87679.255641,536.124088,536.124088,9343.876971
87679.255790,382.945777,689.302399,9420.466126
87679.255939,536.124088,689.302399,9420.466126
87679.256088,536.124088,536.124088,9190.698660
87679.256237,689.302399,689.302399,9420.466126
87679.256386,76.589155,689.302399,9267.287815
87679.256535,382.945777,842.480710,9114.109504
87679.256684,229.767466,1148.837332,9190.698660
87679.256833,536.124088,842.480710,9114.109504
87679.256981,229.767466,536.124088,9267.287815
87679.257130,76.589155,536.124088,9037.520349
87679.257279,536.124088,689.302399,9267.287815
87679.257428,382.945777,536.124088,9267.287815
87679.257577,382.945777,842.480710,9267.287815
87679.257726,382.945777,842.480710,9267.287815
87679.257875,229.767466,689.302399,9420.466126
87679.258023,229.767466,842.480710,9190.698660
87679.258172,536.124088,689.302399,9267.287815
87679.258321,229.767466,382.945777,8960.931193
87679.258470,229.767466,842.480710,8884.342038
87679.258619,536.124088,1302.015643,9190.698660
87679.258769,76.589155,995.659021,9190.698660
87679.258918,382.945777,1148.837332,9190.698660
87679.259066,382.945777,995.659021,9420.466126
87679.259215,382.945777,536.124088,9267.287815
87679.259364,536.124088,689.302399,9190.698660
87679.259513,536.124088,689.302399,9267.287815
87679.259661,382.945777,689.302399,9190.698660
87679.259810,382.945777,842.480710,9190.698660
87679.259966,229.767466,689.302399,9190.698660
87679.260114,382.945777,1148.837332,9190.698660
87679.260262,536.124088,689.302399,9037.520349
87679.260410,229.767466,536.124088,8960.931193
87679.260557,229.767466,689.302399,9420.466126
87679.260705,229.767466,995.659021,9267.287815
87679.260853,382.945777,689.302399,9267.287815
87679.261001,76.589155,842.480710,9190.698660
87679.261158,229.767466,689.302399,9190.698660
87679.261306,382.945777,995.659021,9267.287815
87679.261453,229.767466,382.945777,9037.520349
87679.261601,536.124088,536.124088,9267.287815
87679.261749,689.302399,689.302399,9267.287815
87679.261897,536.124088,536.124088,9190.698660
87679.262045,689.302399,995.659021,9420.466126
87679.262192,689.302399,995.659021,9573.644437
87679.262344,76.589155,842.480710,9190.698660
87679.262493,0.000000,995.659021,9037.520349
87679.262641,76.589155,1148.837332,9267.287815
87679.262790,76.589155,995.659021,9190.698660
87679.262938,76.589155,536.124088,8884.342038
87679.263087,689.302399,842.480710,9420.466126
87679.263235,536.124088,689.302399,9267.287815
87679.263384,382.945777,536.124088,9037.520349
87679.263532,689.302399,689.302399,9267.287815
87679.263681,689.302399,842.480710,9190.698660
87679.263830,382.945777,689.302399,9037.520349
87679.263979,76.589155,995.659021,8884.342038
87679.264128,76.589155,842.480710,9420.466126
87679.264277,0.000000,536.124088,9037.520349
87679.264425,229.767466,1148.837332,9190.698660
87679.264574,382.945777,995.659021,9267.287815
87679.264724,382.945777,689.302399,8960.931193
87679.264873,536.124088,689.302399,9267.287815
87679.265022,689.302399,842.480710,9114.109504
87679.265171,382.945777,689.302399,9420.466126
87679.265319,536.124088,536.124088,9190.698660
87679.265468,229.767466,536.124088,8960.931193
87679.265617,76.589155,842.480710,9267.287815
87679.265766,229.767466,689.302399,9190.698660
87679.265914,76.589155,689.302399,9190.698660
87679.266063,229.767466,842.480710,9190.698660
87679.266212,382.945777,842.480710,9267.287815
87679.266361,229.767466,995.659021,9267.287815
87679.266510,536.124088,842.480710,9190.698660
87679.266659,382.945777,689.302399,9190.698660
87679.266808,229.767466,842.480710,9267.287815
87679.266957,229.767466,536.124088,8960.931193
87679.267107,229.767466,995.659021,9037.520349
87679.267256,229.767466,689.302399,9190.698660
87679.267405,229.767466,382.945777,9190.698660
87679.267553,536.124088,995.659021,9420.466126
87679.267702,689.302399,689.302399,9267.287815
87679.267851,536.124088,689.302399,9190.698660
87679.267999,536.124088,1148.837332,9420.466126
87679.268148,536.124088,995.659021,9114.109504
